Product Name,Total number of comments (backer only),Number of Negative Comment,Number of Neutral Comment,Number of Positive Comment,% of Negative Comment,% of Neutral Comment,% of Positive Comment,Overall Score,Number of creator comment
field-kit-electroacoustic-workstation,50,12,9,29,0.24,0.18,0.58,0.23546,0
carat-pro-audiophile-quality-stylish-sport-earbuds,50,8,9,33,0.16,0.18,0.66,0.327666,0
magneo-first-true-usb-c-magnetic-adapter,50,19,12,19,0.38,0.24,0.38,-0.023416,0
ants-analog-modular-synthesizer,50,8,3,39,0.16,0.06,0.78,0.441018,0
crokinole-2016-hardwood-edition-2-4-player-dexteri,50,10,10,30,0.2,0.2,0.6,0.365306,0
flexr-control-technology-with-your-muscles,50,7,8,35,0.14,0.16,0.7,0.260722,0
droodlebooks-professional-coloring-notebook,5,0,1,4,0,0.2,0.8,0.45568,4
ransomly-a-bluetooth-beacon-to-make-any-room-app-f,18,3,7,8,0.17,0.39,0.44,0.118655556,2
slim-leather-wallet-italian-leather-handcrafted-in,0,0,0,0,0,0,0,0,0
heroes-of-the-nations,50,6,16,28,0.12,0.32,0.56,0.272026,0
the-humidors-sophomore-album-funk-soul-from-the-ba,2,0,1,1,0,0.5,0.5,0.28535,0
digital-numbered-limited-edition-playing-cards,0,0,0,0,0,0,0,0,0
adopt-a-galaxy-your-very-own-pocket-universe,1,0,0,1,0,0,1,0.4939,0
sento-towel-an-incredible-upgrade-for-an-everyday,50,20,16,14,0.4,0.32,0.28,-0.034742,0
the-california-acoustic-coastline-tour,0,0,0,0,0,0,0,0,0
the-anatomy-of-frank-south-america,4,0,0,4,0,0,1,0.65705,0
milky-way-you-are-here-pin,0,0,0,0,0,0,0,0,0
renegade-line-the-new-competitive-third-person-sho,50,9,19,22,0.18,0.38,0.44,0.195674,0
gaming-paper-erasable,14,2,8,4,0.14,0.57,0.29,0.105907143,0
handenergy-your-pocket-electricity-generator,50,16,11,23,0.32,0.22,0.46,0.129366,0
winter-fox-managing-my-mental-illness-with-poetry,3,0,1,2,0,0.33,0.67,0.3488,3
morning-owl-hard-enamel-pin,2,0,0,2,0,0,1,0.7745,1
